A,,http://www.investor.agilent.com/corporate.rss?c=103274&Rule=Cat=news~subcat=ALL
AAMC,,http://apps.shareholder.com/rss/rss.aspx?channels=9395&companyid=AMDA-1HZPVK&sh_auth=3877536249%2E0%2E0%2E42781%2E43c3697d9502c573bf4c02d141ea8ee6
DBD,,http://news.dieboldnixdorf.com/press-releases/rss.xml
TRI,,http://ir.thomsonreuters.com/corporate.rss?c=76540&Rule=Cat=news~subcat=ALL
AA,http://www.alcoa.com,
AAL,http://www.aa.com,
AAP,http://www.advanceautoparts.com,
AAPL,http://www.apple.com,http://www.apple.com/newsroom/rss-feed.rss
ABBV,http://www.abbvie.com,http://investors.abbvie.com/corporate.rss?c=251551&Rule=Cat=news~subcat=ALL
ABC,http://www.amerisourcebergen.com,
ABT,http://www.abbott.com,
ABX,http://www.barrick.com,
ACC,http://www.americancampus.com,
ACN,http://www.accenture.com,
ADBE,http://www.adobe.com,http://rss.adobe.com/en/news_releases.rss
ADI,http://www.analog.com,http://apps.shareholder.com/rss/rss.aspx?channels=8856&companyid=ADI&sh_auth=3885978427%2E0%2E0%2E42782%2Efcdaa5ba0bd0371399c607b69577597f
ADM,http://www.adm.com,
ADP,http://www.adp.com,http://www.adp.com/rss/esp.xml
ADS,http://www.alliancedata.com,
ADSK,http://www.autodesk.com,
AEE,http://www.ameren.com,http://www.amereninvestors.com/rss/pressrelease.aspx
AEM,http://www.agnico-eagle.com,https://www.agnicoeagle.com/rss/pressrelease.aspx
AEO,http://www.ae.com,http://investors.ae.com/rss/pressrelease.aspx
AEP,http://www.aep.com,
AET,http://www.aetna.com,
AFG,http://www.afginc.com,http://www.afginc.com/corporate.rss?c=89330&Rule=Cat=news~subcat=ALL
AFL,http://www.aflac.com,
AGN,http://www.allergan.com,
AIG,http://www.aig.com,
AIV,http://www.aimco.com,
AIZ,http://www.assurant.com,http://www.assurant.com/en/NewsRoom/NewsRoomRSSFeed
AJG,http://www.ajg.com,http://investor.ajg.com/corporate.rss?c=104111&Rule=Cat=news~subcat=ALL
AKAM,http://www.akamai.com,
AKRX,http://www.akorn.com,http://investors.akorn.com/corporate.rss?c=78132&Rule=Cat=news~subcat=ALL
ALB,http://www.albemarle.com,
ALGN,http://www.aligntech.com,
ALK,http://www.alaskaair.com,
ALL,http://www.allstate.com,
ALLE,http://www.allegion.com,
